Nombre,Fecha,Ubicación_calle_1,Ubicación_calle_2,Colonia,Total_Peatonal,Total_Ciclista,Total_Transporte_Público,Total_Vehicular,Total_Transporte_Carga,Dirección_SEMOVI
39,2017-11-15,Calle 6,Lateral Blvd Atlixco,San Jose Vista Hermosa,0,0,0,939,0,Dirección de Planeación y Proyectos,,
40,2017-11-15,Calle 26,Paseo San Jose Vista Hermosa Norte,San Jose Vista Hermosa,0,0,0,241,0,Dirección de Planeación y Proyectos,,
41,2017-11-15,Calle 3 Sur,Av. 39 Poniente,Gabriel Pastor Secc. 1,115,0,0,640,0,Dirección de Planeación y Proyectos,,
42,2017-11-15,Av. 41 Poniente,Calle 3 Sur,Gabriel Pastor Secc. 1,0,0,0,221,0,Dirección de Planeación y Proyectos,,
43,2017-09-16,Av. 41 Poniente,Priv. A Pte de la 16 de Sept,Gabriel Pastor Secc. 1,199,0,0,0,0,Dirección de Planeación y Proyectos,,
44,2017-04-17,Carr. Fed. a Tehuacan,Av. Unidad Deportiva,Maravillas,190,0,86,0,0,Dirección de Planeación y Proyectos,,
45,2017-04-17,Calle Zapotecas,Av. Nacional,Popular Emilio Zapata,0,0,0,506,0,Dirección de Planeación y Proyectos,,
46,2017-04-17,Calle Jalisco,Av. Nacional,Popular Emilio Zapata,0,0,0,504,0,Dirección de Planeación y Proyectos,,
47,2017-04-17,Calle Yucatan,Av. Nacional,Popular Emilio Zapata,0,0,0,44,0,Dirección de Planeación y Proyectos,,
48,2017-04-17,Calle Zapotecas,Calle Yucatan,Popular Emilio Zapata,0,0,0,4,0,Dirección de Planeación y Proyectos,,
49,2017-04-17,Calle Jalisco,Calle Zapotecas,Popular Emilio Zapata,210,0,0,0,0,Dirección de Planeación y Proyectos,,
50,2017-04-17,Calle Jalisco,Calle Yucatan,Popular Emilio Zapata,91,0,0,0,0,Dirección de Planeación y Proyectos,,
51,2017-04-17,Rafael Cañedo Benitez,Calle 11 Sur,INFONAVIT San Bartolo,42,0,0,268,0,Dirección de Planeación y Proyectos,,
52,2017-04-17,Cto. San Bartolo Ote B,Calle 11 Sur,INFONAVIT San Bartolo,0,0,0,129,0,Dirección de Planeación y Proyectos,,
53,2017-04-17,Cto. San Bartolo Ote B,Rafael Cañedo Benitez,INFONAVIT San Bartolo,0,0,0,31,0,Dirección de Planeación y Proyectos,,
54,2017-04-17,Calle 11 Sur,San Bartolo Pte B,INFONAVIT San Bartolo,144,0,0,94,0,Dirección de Planeación y Proyectos,,
55,2017-04-17,Calle Zacatecas,Calle 11 Sur,INFONAVIT San Bartolo,0,0,0,18,0,Dirección de Planeación y Proyectos,,
56,2017-04-17,Calle 11 Sur,Anillo Periferico Ecologico,San Francisco Mayorazgo,0,0,0,178,0,Dirección de Planeación y Proyectos,,
57,2017-04-17,Av. Nacional,Av. 105 Pte,Popular Emilio Zapata,0,0,0,245,0,Dirección de Planeación y Proyectos,,
58,2017-10-17,Calle 11 Sur,Av. 105 Pte,Popular Emilio Zapata,0,0,0,48,0,Dirección de Planeación y Proyectos,,
59,2018-04-18,Blvd. Hnos. Serdan,Entre Francisco Villa y Autopista Mex-Pue,El Regio Sur,0,0,0,7678,0,Dirección de Planeación y Proyectos,,
60,2018-04-18,Av. 14 Ote,Calle Albert Einstein,Gregorio Ramos,80,0,230,2536,44,Dirección de Planeación y Proyectos,,
61,2018-04-18,Av. 14 Ote,Blvd. Vicente Suarez,Gregorio Ramos,271,0,0,0,0,Dirección de Planeación y Proyectos,,
62,2018-04-18,Av. 14 Ote,Calle 52 Nte,Gregorio Ramos,127,0,0,0,0,Dirección de Planeación y Proyectos,,
63,2018-04-18,Av. 14 Ote,Lateral Av. 14 Ote,Gregorio Ramos,12,0,0,0,0,Dirección de Planeación y Proyectos,,
64,2018-07-18,Av. 14 Ote,Praxedis Guerrero,Gregorio Ramos,1,0,0,0,0,Dirección de Planeación y Proyectos,,
65,2017-08-19,Zavaleta,Calle 53 Sur,Concepción la Cruz,86,0,0,3169,0,Dirección de Planeación y Proyectos,,
66,2017-08-19,Calle 5 de Mayo,6 Oriente,Centro,3957,0,0,196,0,Dirección de Planeación y Proyectos,,
67,2017-08-19,6 Sur,3 Oriente,Centro,0,0,0,3527,0,Dirección de Planeación y Proyectos,,
68,2018-01-21,6 Oriente,2 Norte,Centro,536,0,0,231,0,Dirección de Planeación y Proyectos,,
69,2018-05-21,Lateral Recta a Cholula,Rafael Avila Camacho,Santa Cruz Buenavista,0,0,0,755,0,Dirección de Planeación y Proyectos,,
70,2018-05-21,Av. Rosendo Marquez,Av. 31 Pte,Nueva Antequera,0,0,0,251,0,Dirección de Planeación y Proyectos,,
71,2018-05-21,Av. 31 Pte,Diagonal Benito Juarez,Nueva Antequera,0,0,0,146,0,Dirección de Planeación y Proyectos,,
72,2018-05-21,Diagonal Benito Juarez,Av. Rosendo Marquez,Nueva Antequera,0,0,0,68,0,Dirección de Planeación y Proyectos,,
73,2018-05-21,Av. 31 Pte,Diagonal Benito Juarez,Nueva Antequera,0,0,0,172,0,Dirección de Planeación y Proyectos,,
74,2018-05-21,Cto. Juan Pablo II,Blvd. Atlixco,Nueva Antequera,0,0,0,1006,0,Dirección de Planeación y Proyectos,,
75,2017-11-21,Diagonal Benito Juarez,Blvd. Atlixco,Nueva Antequera,0,0,0,239,0,Dirección de Planeación y Proyectos,,
76,2017-11-21,Benito Juarez,Zapotitlan,Sna Andres Azumiatla,17,0,0,0,0,Dirección de Planeación y Proyectos,,
77,2017-11-21,Benito Juarez,Calle Independencia,Sna Andres Azumiatla,32,0,0,0,0,Dirección de Planeación y Proyectos,,
